# frameNo	x_coordinate(jpg, png, ...)	y_coordinate(jpg, png, ...)	fixation_or_not	fixation_centroid_x	fixation_centroid_y	fixation_duration	nearestWord	RetrievedDocument
3:2:8	264	806	Fixation	265.545	795.455	11	----	S2
3:2:9	262	799	Fixation	265.25	795.75	12	----	S2
3:2:10	273	826	Fixation	265.846	798.077	13	----	S2
3:2:11	266	807	Fixation	265.857	798.714	14	----	S2
3:2:12	256	796	Fixation	265.2	798.533	15	----	S2
3:2:13	263	814	Fixation	265.063	799.5	16	----	S2
3:2:14	824	799	--------	-9999	-9999	0	----	S2
3:2:15	823	824	--------	-9999	-9999	1	----	S2
3:2:16	827	796	--------	-9999	-9999	2	----	S2
3:2:17	824	800	--------	-9999	-9999	3	----	S2
3:2:18	824	791	Fixation	824.5	802.75	4	----	S2
3:2:19	811	782	Fixation	821.8	798.6	5	----	S2
3:2:20	321	786	--------	-9999	-9999	0	----	S2
3:2:21	203	774	--------	-9999	-9999	1	----	S2
3:2:22	245	755	--------	-9999	-9999	2	----	S2
3:2:23	260	798	--------	-9999	-9999	3	----	S2
3:3:0	253	794	Fixation	240.25	780.25	4	----	S2
3:3:1	257	799	--------	-9999	-9999	0	----	S2
3:3:2	242	801	--------	-9999	-9999	1	----	S2
3:3:3	239	799	--------	-9999	-9999	2	----	S2
3:3:4	239	797	--------	-9999	-9999	3	----	S2
3:3:5	258	799	Fixation	244.5	799	4	----	S2
3:3:6	267	814	Fixation	249	802	5	----	S2
3:3:7	266	816	Fixation	251.833	804.333	6	----	S2
3:3:8	267	816	Fixation	254	806	7	----	S2
3:3:9	272	808	Fixation	256.25	806.25	8	----	S2
3:3:10	269	810	Fixation	257.667	806.667	9	----	S2
3:3:11	328	806	--------	-9999	-9999	0	----	S2
3:3:12	321	810	--------	-9999	-9999	1	----	S2
3:3:13	338	818	--------	-9999	-9999	2	----	S2
3:3:14	328	808	--------	-9999	-9999	3	----	S2
3:3:15	333	816	Fixation	330	813	4	----	S2
3:3:16	330	811	Fixation	330	812.6	5	----	S2
3:3:17	342	806	Fixation	332	811.5	6	----	S2
3:3:18	427	817	--------	-9999	-9999	0	----	S2
3:3:19	425	828	--------	-9999	-9999	1	----	S2
3:3:20	409	809	--------	-9999	-9999	2	----	S2
3:3:21	419	814	--------	-9999	-9999	3	----	S2
3:3:22	425	818	Fixation	419.5	817.25	4	----	S2
3:3:23	416	814	Fixation	418.8	816.6	5	----	S2
3:4:0	412	816	Fixation	417.667	816.5	6	----	S2
3:4:1	435	816	Fixation	420.143	816.429	7	----	S2
3:4:2	431	825	Fixation	421.5	817.5	8	----	S2
3:4:3	500	825	--------	-9999	-9999	0	----	S2
3:4:4	490	828	--------	-9999	-9999	1	----	S2
3:4:5	494	819	--------	-9999	-9999	2	----	S2
3:4:6	491	823	--------	-9999	-9999	3	----	S2
3:4:7	492	823	Fixation	491.75	823.25	4	----	S2
3:4:8	490	821	Fixation	491.4	822.8	5	----	S2
3:4:9	484	831	Fixation	490.167	824.167	6	----	S2
3:4:10	556	841	--------	-9999	-9999	0	----	S2
3:4:11	558	826	--------	-9999	-9999	1	----	S2
3:4:12	563	825	--------	-9999	-9999	2	----	S2
3:4:13	567	823	--------	-9999	-9999	3	----	S2
3:4:14	567	818	Fixation	563.75	823	4	----	S2
3:4:15	569	814	Fixation	564.8	821.2	5	----	S2
3:4:16	572	819	Fixation	566	820.833	6	----	S2
3:4:17	627	812	--------	-9999	-9999	0	----	S2
3:4:18	625	813	--------	-9999	-9999	1	----	S2
3:4:19	632	811	--------	-9999	-9999	2	----	S2
3:4:20	626	808	--------	-9999	-9999	3	----	S2
3:4:21	629	810	Fixation	628	810.5	4	----	S2
3:4:22	635	823	Fixation	629.4	813	5	----	S2
3:4:23	637	824	Fixation	630.667	814.833	6	----	S2
3:5:0	718	826	--------	-9999	-9999	0	----	S2
3:5:1	715	812	--------	-9999	-9999	1	----	S2
3:5:2	718	811	--------	-9999	-9999	2	----	S2
3:5:3	707	808	--------	-9999	-9999	3	----	S2
3:5:4	717	805	Fixation	714.25	809	4	----	S2
3:5:5	703	804	Fixation	712	808	5	----	S2
3:5:6	641	815	--------	-9999	-9999	0	----	S2
3:5:7	637	797	--------	-9999	-9999	1	----	S2
3:5:8	646	804	--------	-9999	-9999	2	----	S2
3:5:9	635	814	--------	-9999	-9999	3	----	S2
3:5:10	644	807	Fixation	640.5	805.5	4	----	S2
3:5:11	643	805	Fixation	641	805.4	5	----	S2
3:5:12	648	802	Fixation	642.167	804.833	6	----	S2
3:5:13	641	807	Fixation	642	805.143	7	----	S2
3:5:14	645	790	Fixation	642.375	803.25	8	----	S2
3:5:15	661	797	Fixation	644.444	802.556	9	----	S2
3:5:16	716	788	--------	-9999	-9999	0	----	S2
3:5:17	740	786	--------	-9999	-9999	1	----	S2
3:5:18	736	794	--------	-9999	-9999	2	----	S2
3:5:19	730	788	--------	-9999	-9999	3	----	S2
3:5:20	734	792	Fixation	735	790	4	----	S2
3:5:21	739	798	Fixation	735.8	791.6	5	----	S2
3:5:22	745	798	Fixation	737.333	792.667	6	----	S2
3:5:23	741	800	Fixation	737.857	793.714	7	----	S2
3:6:0	813	814	--------	-9999	-9999	0	----	S2
3:6:1	823	809	--------	-9999	-9999	1	----	S2
3:6:2	834	818	--------	-9999	-9999	2	----	S2
3:6:3	820	806	--------	-9999	-9999	3	----	S2
3:6:4	841	802	Fixation	829.5	808.75	4	----	S2
3:6:5	837	808	Fixation	831	808.6	5	----	S2
3:6:6	830	802	Fixation	830.833	807.5	6	----	S2
3:6:7	829	806	Fixation	830.571	807.286	7	----	S2
3:6:8	851	803	Fixation	833.125	806.75	8	----	S2
3:6:9	910	807	--------	-9999	-9999	0	----	S2
3:6:10	910	802	--------	-9999	-9999	1	----	S2
3:6:11	921	806	--------	-9999	-9999	2	----	S2
3:6:12	917	820	--------	-9999	-9999	3	----	S2
3:6:13	916	805	Fixation	916	808.25	4	----	S2
3:6:14	920	808	Fixation	916.8	808.2	5	----	S2
3:6:15	1016	824	--------	-9999	-9999	0	----	S2
3:6:16	1009	821	--------	-9999	-9999	1	----	S2
3:6:17	1018	819	--------	-9999	-9999	2	----	S2
3:6:18	1018	834	--------	-9999	-9999	3	----	S2
3:6:19	1081	764	--------	-9999	-9999	0	----	S2
3:6:20	1081	786	--------	-9999	-9999	1	----	S2
3:6:21	1094	777	--------	-9999	-9999	2	----	S2
3:6:22	1082	797	--------	-9999	-9999	3	----	S2
3:6:23	1074	794	Fixation	1082.75	788.5	4	----	S2
3:7:0	1088	793	Fixation	1083.8	789.4	5	----	S2
3:7:1	1096	790	Fixation	1085.83	789.5	6	----	S2
3:7:2	1079	804	Fixation	1084.86	791.571	7	----	S2
3:7:3	1100	798	Fixation	1086.75	792.375	8	----	S2
3:7:4	1102	795	Fixation	1088.44	792.667	9	----	S2
3:7:5	1101	796	Fixation	1089.7	793	10	----	S2
3:7:6	1097	786	Fixation	1090.36	792.364	11	----	S2
3:7:7	1105	793	Fixation	1091.58	792.417	12	----	S2
3:7:8	1106	796	Fixation	1092.69	792.692	13	----	S2
3:7:9	1225	791	--------	-9999	-9999	0	----	S2
3:7:10	1248	792	--------	-9999	-9999	1	----	S2
3:7:11	1241	798	--------	-9999	-9999	2	----	S2
3:7:12	1253	800	--------	-9999	-9999	3	----	S2
3:7:13	1236	806	Fixation	1244.5	799	4	----	S2
