fr_index,fr_dist,fr_time,fr_duration,fr_speed,cond,subject,section
131,127.7,50.0,53,2.55,2-column,sub-1,-
133,44.93,19.0,21,2.36,2-column,sub-1,-
134,89.45,7.0,16,12.78,2-column,sub-1,-
135,122.81,22.0,26,5.58,2-column,sub-1,-
136,153.66,17.0,21,9.04,2-column,sub-1,S2
137,87.39,10.0,10,8.74,2-column,sub-1,-
138,251.48,25.0,14,10.06,2-column,sub-1,-
142,20.4,8.0,11,2.55,2-column,sub-1,-
146,39.2,11.0,15,3.56,2-column,sub-1,-
147,41.61,15.0,17,2.77,2-column,sub-1,-
149,62.43,17.0,17,3.67,2-column,sub-1,-
155,147.23,36.0,25,4.09,2-column,sub-1,S3
159,69.49,21.0,24,3.31,2-column,sub-2,S1
161,73.6,55.0,42,1.34,2-column,sub-2,S1
165,51.53,28.0,29,1.84,2-column,sub-2,S1
166,88.13,12.0,22,7.34,2-column,sub-2,S1
167,33.2,13.0,21,2.55,2-column,sub-2,S1
168,74.6,12.0,17,6.22,2-column,sub-2,S1
170,59.69,41.0,46,1.46,2-column,sub-2,S1
172,10.99,7.0,11,1.57,2-column,sub-2,S1
173,34.8,16.0,16,2.17,2-column,sub-2,S1
174,69.63,17.0,16,4.1,2-column,sub-2,S1
175,98.66,66.0,54,1.49,2-column,sub-2,S1
176,71.77,50.0,47,1.44,2-column,sub-2,S1
178,99.09,61.0,51,1.62,2-column,sub-2,S1
179,56.89,6.0,23,9.48,2-column,sub-2,S1
180,16.46,5.0,10,3.29,2-column,sub-2,S1
181,114.45,50.0,49,2.29,2-column,sub-2,S1
182,66.95,36.0,29,1.86,2-column,sub-2,S1
183,99.93,37.0,38,2.7,2-column,sub-2,S1
184,26.55,6.0,10,4.42,2-column,sub-2,S1
186,51.08,39.0,49,1.31,2-column,sub-2,S1
189,31.8,14.0,19,2.27,2-column,sub-2,S1
190,118.08,32.0,38,3.69,2-column,sub-2,S1
192,114.75,70.0,67,1.64,2-column,sub-2,S1
193,27.58,7.0,10,3.94,2-column,sub-2,S1
194,15.07,7.0,11,2.15,2-column,sub-2,S1
196,52.13,19.0,21,2.74,2-column,sub-2,S1
197,107.56,60.0,64,1.79,2-column,sub-2,S1
198,20.73,22.0,27,0.94,2-column,sub-2,S1
199,83.69,28.0,42,2.99,2-column,sub-2,S1
200,32.62,15.0,16,2.17,2-column,sub-2,S1
202,40.21,7.0,10,5.74,2-column,sub-2,S1
204,88.83,57.0,15,1.56,2-column,sub-2,-
207,131.97,63.0,41,2.09,2-column,sub-2,-
208,46.58,20.0,26,2.33,2-column,sub-2,-
209,96.76,13.0,11,7.44,2-column,sub-2,-
211,62.2,34.0,33,1.83,2-column,sub-2,-
212,78.6,6.0,10,13.1,2-column,sub-2,-
213,65.37,36.0,32,1.82,2-column,sub-2,-
215,76.72,6.0,14,12.79,2-column,sub-2,-
216,36.06,15.0,17,2.4,2-column,sub-2,-
217,55.7,32.0,35,1.74,2-column,sub-2,-
219,32.29,16.0,27,2.02,2-column,sub-2,-
220,21.16,6.0,9,3.53,2-column,sub-2,-
226,39.32,12.0,15,3.28,2-column,sub-2,-
227,35.11,12.0,16,2.93,2-column,sub-2,-
232,65.85,6.0,12,10.97,2-column,sub-2,-
236,30.74,12.0,15,2.56,2-column,sub-2,-
239,39.49,22.0,27,1.8,2-column,sub-2,-
240,19.58,8.0,13,2.45,2-column,sub-2,-
241,74.0,28.0,28,2.64,2-column,sub-2,-
242,151.03,58.0,44,2.6,2-column,sub-2,-
243,27.32,8.0,13,3.42,2-column,sub-2,-
244,35.16,13.0,16,2.7,2-column,sub-2,-
245,18.87,6.0,11,3.15,2-column,sub-2,-
246,11.35,5.0,10,2.27,2-column,sub-2,-
247,99.76,37.0,41,2.7,2-column,sub-2,-
248,60.47,37.0,40,1.63,2-column,sub-2,-
249,24.58,6.0,10,4.1,2-column,sub-2,-
254,28.03,12.0,17,2.34,2-column,sub-2,-
256,73.98,10.0,15,7.4,2-column,sub-2,-
258,105.49,48.0,51,2.2,2-column,sub-2,-
259,28.15,12.0,17,2.35,2-column,sub-2,-
260,76.43,21.0,33,3.64,2-column,sub-2,-
261,26.9,6.0,10,4.48,2-column,sub-2,-
262,84.94,14.0,19,6.07,2-column,sub-2,-
263,127.74,48.0,48,2.66,2-column,sub-2,-
264,139.16,41.0,48,3.39,2-column,sub-2,-
265,38.64,12.0,16,3.22,2-column,sub-2,-
266,67.97,5.0,14,13.59,2-column,sub-2,-
268,119.22,45.0,43,2.65,2-column,sub-2,-
269,50.52,30.0,36,1.68,2-column,sub-2,-
271,43.98,26.0,28,1.69,2-column,sub-2,-
273,55.7,5.0,10,11.14,2-column,sub-2,-
274,93.65,52.0,50,1.8,2-column,sub-2,-
275,170.22,42.0,32,4.05,2-column,sub-2,-
276,162.31,30.0,23,5.41,2-column,sub-2,-
277,166.37,11.0,16,15.12,2-column,sub-2,-
278,22.13,9.0,8,2.46,2-column,sub-2,-
279,129.31,49.0,34,2.64,2-column,sub-2,-
280,179.61,62.0,48,2.9,2-column,sub-2,-
281,67.99,21.0,20,3.24,2-column,sub-2,-
282,76.67,6.0,9,12.78,2-column,sub-2,-
283,76.76,48.0,55,1.6,2-column,sub-2,-
286,37.54,18.0,21,2.09,2-column,sub-2,-
289,45.79,17.0,19,2.69,2-column,sub-2,-
290,62.37,12.0,15,5.2,2-column,sub-2,-
291,102.28,35.0,47,2.92,2-column,sub-2,-
292,37.76,9.0,9,4.2,2-column,sub-2,-
293,122.06,27.0,32,4.52,2-column,sub-2,-
294,42.37,17.0,20,2.49,2-column,sub-2,-
295,15.83,5.0,9,3.17,2-column,sub-2,-
296,71.46,16.0,13,4.47,2-column,sub-2,-
297,139.65,48.0,23,2.91,2-column,sub-2,-
298,80.59,30.0,30,2.69,2-column,sub-2,-
300,65.45,32.0,31,2.05,2-column,sub-2,-
302,159.68,51.0,37,3.13,2-column,sub-2,-
303,21.24,6.0,9,3.54,2-column,sub-2,-
304,35.19,31.0,16,1.14,2-column,sub-2,S2
305,56.54,45.0,15,1.26,2-column,sub-2,-
307,53.6,9.0,11,5.96,2-column,sub-2,-
312,35.88,6.0,10,5.98,2-column,sub-2,-
313,15.94,14.0,26,1.14,2-column,sub-2,-
315,41.66,11.0,18,3.79,2-column,sub-2,-
316,22.46,13.0,17,1.73,2-column,sub-2,-
317,72.94,30.0,39,2.43,2-column,sub-2,-
319,65.38,42.0,39,1.56,2-column,sub-2,-
320,75.5,41.0,42,1.84,2-column,sub-2,-
321,91.14,35.0,41,2.6,2-column,sub-2,-
322,61.47,30.0,28,2.05,2-column,sub-2,S3
325,32.32,6.0,15,5.39,2-column,sub-2,S3
326,66.1,5.0,8,13.22,2-column,sub-2,S3
327,44.99,13.0,16,3.46,2-column,sub-2,S3
328,18.41,7.0,11,2.63,2-column,sub-2,S3
329,16.42,8.0,19,2.05,2-column,sub-2,S3
332,26.43,35.0,38,0.76,2-column,sub-2,S3
333,84.1,35.0,36,2.4,2-column,sub-2,S3
334,50.08,5.0,11,10.02,2-column,sub-2,S3
335,150.88,6.0,32,25.15,2-column,sub-2,S1
336,130.99,10.0,28,13.1,2-column,sub-2,S1
337,75.85,36.0,23,2.11,2-column,sub-3,S1
